account_id,ring_id,bank,state,city,account_type,account_age_days,total_case_count,final_reputation_score,reused_in_multiple_cases
ACC000001,R0001,Bank_C,Telangana,Hyderabad,SAVINGS,870,4208,1.0,1
ACC000002,R0001,Bank_D,Odisha,Hyderabad,SAVINGS,1451,4200,1.0,1
ACC000003,R0001,Bank_C,Telangana,Hyderabad,SAVINGS,1227,4196,1.0,1
ACC000004,R0002,Bank_A,Telangana,Hyderabad,SAVINGS,1654,1886,1.0,1
ACC000005,R0002,Bank_D,Telangana,Hyderabad,SAVINGS,1619,1897,1.0,1
ACC000006,R0002,Bank_D,Telangana,Hyderabad,SAVINGS,1301,1885,1.0,1
ACC000007,R0003,Bank_C,Telangana,Hyderabad,SAVINGS,1026,503,1.0,1
ACC000008,R0003,Bank_C,Telangana,Hyderabad,SAVINGS,297,463,1.0,1
ACC000009,R0003,Bank_D,Telangana,Hyderabad,SAVINGS,1772,497,1.0,1
ACC000010,R0003,Bank_A,Telangana,Hyderabad,SAVINGS,387,493,1.0,1
ACC000011,R0003,Bank_A,Telangana,Hyderabad,SAVINGS,625,497,1.0,1
ACC000012,R0003,Bank_D,Kerala,Ahmedabad,SAVINGS,2096,499,1.0,1
ACC000013,R0003,Bank_A,Telangana,Hyderabad,SAVINGS,711,496,1.0,1
ACC000014,R0003,Bank_C,Tamil Nadu,Chennai,SAVINGS,886,527,1.0,1
ACC000015,R0003,Bank_E,Telangana,Hyderabad,CURRENT,1880,508,1.0,1
ACC000016,R0003,Bank_C,Telangana,Hyderabad,SAVINGS,1394,470,1.0,1
ACC000017,R0003,Bank_E,Telangana,Hyderabad,CURRENT,2033,459,1.0,1
ACC000018,R0003,Bank_B,Telangana,Hyderabad,SAVINGS,1680,506,1.0,1
ACC000019,R0004,Bank_B,Telangana,Hyderabad,SAVINGS,574,851,1.0,1
ACC000020,R0004,Bank_D,Telangana,Hyderabad,SAVINGS,1797,861,1.0,1
ACC000021,R0004,Bank_C,Bihar,Patna,SAVINGS,1756,872,1.0,1
ACC000022,R0005,Bank_B,Bihar,Patna,CURRENT,431,405,1.0,1
ACC000023,R0005,Bank_E,Bihar,Patna,SAVINGS,2053,404,1.0,1
ACC000024,R0005,Bank_B,Bihar,Patna,SAVINGS,602,400,1.0,1
ACC000025,R0005,Bank_C,Telangana,Hyderabad,CURRENT,396,406,1.0,1
ACC000026,R0005,Bank_B,Bihar,Patna,SAVINGS,1512,409,1.0,1
ACC000027,R0005,Bank_A,Bihar,Patna,CURRENT,1141,380,1.0,1
ACC000028,R0005,Bank_B,Bihar,Patna,CURRENT,707,394,1.0,1
ACC000029,R0005,Bank_B,Bihar,Patna,SAVINGS,1482,423,1.0,1
ACC000030,R0006,Bank_B,Telangana,Hyderabad,SAVINGS,1649,596,1.0,1
ACC000031,R0006,Bank_C,Telangana,Hyderabad,SAVINGS,1935,591,1.0,1
ACC000032,R0006,Bank_B,Telangana,Hyderabad,SAVINGS,157,582,1.0,1
ACC000033,R0007,Bank_B,Telangana,Hyderabad,SAVINGS,1438,458,1.0,1
ACC000034,R0007,Bank_B,Bihar,Patna,CURRENT,1812,453,1.0,1
ACC000035,R0007,Bank_C,Telangana,Hyderabad,SAVINGS,873,469,1.0,1
ACC000036,R0008,Bank_B,Telangana,Hyderabad,SAVINGS,815,326,1.0,1
ACC000037,R0008,Bank_E,Telangana,Hyderabad,SAVINGS,270,326,1.0,1
ACC000038,R0008,Bank_A,Telangana,Hyderabad,SAVINGS,1812,321,1.0,1
ACC000039,R0008,Bank_E,Telangana,Hyderabad,SAVINGS,1441,341,1.0,1
ACC000040,R0008,Bank_E,Telangana,Hyderabad,CURRENT,2146,336,1.0,1
ACC000041,R0009,Bank_B,Bihar,Patna,SAVINGS,1619,187,1.0,1
ACC000042,R0009,Bank_B,Bihar,Patna,CURRENT,1566,188,1.0,1
ACC000043,R0009,Bank_B,Bihar,Patna,SAVINGS,1074,188,1.0,1
ACC000044,R0009,Bank_A,Bihar,Patna,SAVINGS,1820,203,1.0,1
ACC000045,R0009,Bank_A,Bihar,Patna,SAVINGS,1153,202,1.0,1
ACC000046,R0009,Bank_E,Bihar,Patna,SAVINGS,154,189,1.0,1
ACC000047,R0009,Bank_D,Bihar,Patna,CURRENT,1425,170,1.0,1
ACC000048,R0009,Bank_E,Bihar,Patna,SAVINGS,1052,199,1.0,1
ACC000049,R0009,Bank_C,Bihar,Patna,SAVINGS,438,197,1.0,1
ACC000050,R0010,Bank_C,Telangana,Hyderabad,SAVINGS,395,280,1.0,1
ACC000051,R0010,Bank_B,Telangana,Hyderabad,SAVINGS,800,265,1.0,1
ACC000052,R0010,Bank_E,Telangana,Hyderabad,SAVINGS,1346,282,1.0,1
ACC000053,R0010,Bank_D,Telangana,Hyderabad,CURRENT,228,277,1.0,1
ACC000054,R0010,Bank_C,Telangana,Hyderabad,SAVINGS,277,266,1.0,1
ACC000055,R0011,Bank_C,Andhra Pradesh,Delhi,CURRENT,199,172,1.0,1
ACC000056,R0011,Bank_C,Bihar,Patna,SAVINGS,1172,174,1.0,1
ACC000057,R0011,Bank_C,Odisha,Chennai,SAVINGS,290,183,1.0,1
ACC000058,R0011,Bank_A,Odisha,Delhi,CURRENT,78,188,1.0,1
ACC000059,R0011,Bank_E,Odisha,Kolkata,SAVINGS,1396,186,1.0,1
ACC000060,R0011,Bank_B,Telangana,Hyderabad,SAVINGS,997,167,1.0,1
ACC000061,R0011,Bank_C,Odisha,Hyderabad,SAVINGS,819,197,1.0,1
ACC000062,R0012,Bank_B,Telangana,Hyderabad,SAVINGS,2130,245,1.0,1
ACC000063,R0012,Bank_B,Telangana,Hyderabad,SAVINGS,1176,242,1.0,1
ACC000064,R0012,Bank_B,Telangana,Hyderabad,SAVINGS,2183,246,1.0,1
ACC000065,R0013,Bank_A,Telangana,Hyderabad,SAVINGS,2059,56,1.0,1
ACC000066,R0013,Bank_D,Telangana,Hyderabad,SAVINGS,340,56,1.0,1
ACC000067,R0013,Bank_E,Telangana,Hyderabad,SAVINGS,1253,60,1.0,1
ACC000068,R0013,Bank_D,Telangana,Hyderabad,SAVINGS,1873,65,1.0,1
ACC000069,R0013,Bank_C,Telangana,Hyderabad,SAVINGS,337,70,1.0,1
ACC000070,R0013,Bank_C,Telangana,Hyderabad,CURRENT,1744,73,1.0,1
ACC000071,R0013,Bank_E,Telangana,Hyderabad,CURRENT,1279,68,1.0,1
ACC000072,R0013,Bank_B,Telangana,Hyderabad,SAVINGS,545,50,1.0,1
ACC000073,R0013,Bank_C,Telangana,Hyderabad,SAVINGS,289,72,1.0,1
ACC000074,R0013,Bank_C,Telangana,Hyderabad,CURRENT,160,64,1.0,1
ACC000075,R0013,Bank_B,Telangana,Hyderabad,SAVINGS,2068,61,1.0,1
ACC000076,R0013,Bank_C,Telangana,Hyderabad,SAVINGS,1382,72,1.0,1
ACC000077,R0013,Bank_D,Telangana,Hyderabad,SAVINGS,1282,73,1.0,1
ACC000078,R0013,Bank_C,Telangana,Hyderabad,SAVINGS,1267,61,1.0,1
ACC000079,R0013,Bank_A,Telangana,Hyderabad,CURRENT,445,65,1.0,1
ACC000080,R0013,Bank_C,Telangana,Hyderabad,SAVINGS,2179,61,1.0,1
ACC000081,R0013,Bank_E,Telangana,Hyderabad,SAVINGS,808,70,1.0,1
ACC000082,R0013,Bank_A,Telangana,Hyderabad,CURRENT,1456,62,1.0,1
ACC000083,R0014,Bank_E,Andhra Pradesh,Mumbai,CURRENT,267,189,1.0,1
ACC000084,R0014,Bank_D,Telangana,Hyderabad,SAVINGS,1181,200,1.0,1
ACC000085,R0014,Bank_E,Telangana,Hyderabad,SAVINGS,148,194,1.0,1
ACC000086,R0014,Bank_A,Maharashtra,Pune,CURRENT,447,206,1.0,1
ACC000087,R0014,Bank_A,Telangana,Hyderabad,CURRENT,1365,203,1.0,1
ACC000088,R0015,Bank_E,Telangana,Hyderabad,CURRENT,482,51,1.0,1
ACC000089,R0015,Bank_E,Telangana,Hyderabad,SAVINGS,1898,50,1.0,1
ACC000090,R0015,Bank_B,Telangana,Hyderabad,SAVINGS,1595,56,1.0,1
ACC000091,R0015,Bank_A,Telangana,Hyderabad,SAVINGS,200,60,1.0,1
ACC000092,R0015,Bank_A,Telangana,Hyderabad,CURRENT,1801,59,1.0,1
ACC000093,R0015,Bank_B,Telangana,Hyderabad,CURRENT,99,56,1.0,1
ACC000094,R0015,Bank_B,Telangana,Hyderabad,SAVINGS,335,57,1.0,1
ACC000095,R0015,Bank_A,Telangana,Hyderabad,SAVINGS,1455,53,1.0,1
ACC000096,R0015,Bank_D,Telangana,Hyderabad,SAVINGS,1437,63,1.0,1
ACC000097,R0015,Bank_C,Odisha,Lucknow,SAVINGS,968,61,1.0,1
ACC000098,R0015,Bank_D,Odisha,Bengaluru,SAVINGS,1360,59,1.0,1
ACC000099,R0015,Bank_B,Telangana,Hyderabad,SAVINGS,1779,63,1.0,1
ACC000100,R0015,Bank_B,Telangana,Hyderabad,CURRENT,1681,55,1.0,1
ACC000101,R0015,Bank_A,Telangana,Hyderabad,SAVINGS,78,55,1.0,1
ACC000102,R0015,Bank_C,Telangana,Hyderabad,SAVINGS,1132,63,1.0,1
ACC000103,R0015,Bank_C,Telangana,Hyderabad,SAVINGS,536,52,1.0,1
ACC000104,R0015,Bank_B,Telangana,Hyderabad,CURRENT,47,58,1.0,1
ACC000105,R0015,Bank_C,Telangana,Hyderabad,CURRENT,1586,52,1.0,1
ACC000106,R0016,Bank_B,Maharashtra,Pune,SAVINGS,771,132,1.0,1
ACC000107,R0016,Bank_D,Maharashtra,Pune,SAVINGS,1321,139,1.0,1
ACC000108,R0016,Bank_C,Telangana,Hyderabad,SAVINGS,1176,142,1.0,1
ACC000109,R0016,Bank_B,Maharashtra,Mumbai,SAVINGS,1382,133,1.0,1
ACC000110,R0016,Bank_E,Maharashtra,Mumbai,SAVINGS,228,132,1.0,1
ACC000111,R0016,Bank_B,Maharashtra,Pune,SAVINGS,1169,141,1.0,1
ACC000112,R0017,Bank_B,Telangana,Hyderabad,SAVINGS,608,132,1.0,1
ACC000113,R0017,Bank_E,Telangana,Hyderabad,SAVINGS,1554,128,1.0,1
ACC000114,R0017,Bank_C,Telangana,Hyderabad,SAVINGS,1648,130,1.0,1
ACC000115,R0017,Bank_B,Telangana,Hyderabad,SAVINGS,800,124,1.0,1
ACC000116,R0017,Bank_D,Telangana,Hyderabad,SAVINGS,537,123,1.0,1
ACC000117,R0018,Bank_D,Bihar,Patna,SAVINGS,673,129,1.0,1
ACC000118,R0018,Bank_A,Bihar,Patna,SAVINGS,2046,123,1.0,1
ACC000119,R0018,Bank_D,Bihar,Patna,CURRENT,2197,122,1.0,1
ACC000120,R0018,Bank_C,Bihar,Patna,CURRENT,1743,126,1.0,1
ACC000121,R0018,Bank_C,Bihar,Patna,SAVINGS,1055,116,1.0,1
ACC000122,R0018,Bank_D,Bihar,Patna,SAVINGS,1219,131,1.0,1
ACC000123,R0019,Bank_D,Telangana,Hyderabad,CURRENT,2188,98,1.0,1
ACC000124,R0019,Bank_D,Telangana,Hyderabad,SAVINGS,597,104,1.0,1
ACC000125,R0019,Bank_E,Telangana,Hyderabad,SAVINGS,1229,96,1.0,1
ACC000126,R0019,Bank_D,Telangana,Hyderabad,SAVINGS,136,98,1.0,1
ACC000127,R0019,Bank_D,Tamil Nadu,Chennai,SAVINGS,430,97,1.0,1
ACC000128,R0019,Bank_E,Telangana,Hyderabad,SAVINGS,2010,102,1.0,1
ACC000129,R0019,Bank_C,Telangana,Hyderabad,SAVINGS,525,103,1.0,1
ACC000130,R0019,Bank_A,Telangana,Hyderabad,SAVINGS,951,90,1.0,1
ACC000131,R0020,Bank_E,Telangana,Hyderabad,CURRENT,476,145,1.0,1
ACC000132,R0020,Bank_E,Telangana,Hyderabad,CURRENT,94,143,1.0,1
ACC000133,R0020,Bank_D,Telangana,Hyderabad,SAVINGS,205,143,1.0,1
ACC000134,R0021,Bank_C,Telangana,Hyderabad,SAVINGS,908,147,1.0,1
ACC000135,R0021,Bank_D,Telangana,Hyderabad,SAVINGS,1521,144,1.0,1
ACC000136,R0021,Bank_A,Tamil Nadu,Chennai,CURRENT,548,146,1.0,1
