complaint_id,account_id,hop_depth,chain_depth,incoming_amount,retained_amount_ratio,holding_time_minutes,outgoing_activity_in_case,prior_case_count,mule_reputation,account_age_days,ring_size,account_type,is_terminal_node
C0000001,ACC000251,1,3,67300,0.0208,16.52,1,0,0.0,138,4,SAVINGS,0
C0000001,ACC000253,2,3,58684,0.0082,20.32,1,0,0.0,2062,4,SAVINGS,0
C0000001,ACC000254,2,3,7216,0.0299,13.14,1,0,0.0,1582,4,SAVINGS,0
C0000001,ACC000252,3,3,65200,1.0,0.0,0,0,0.0,1131,4,SAVINGS,1
C0000002,ACC000002,1,3,16700,0.0419,16.03,1,0,0.0,1451,3,SAVINGS,0
C0000002,ACC000003,2,3,5823,0.0039,6.54,1,0,0.0,1227,3,SAVINGS,0
C0000002,ACC000001,2,3,10177,0.0076,11.1,1,0,0.0,870,3,SAVINGS,0
C0000002,ACC000003,3,3,21723,1.0,0.0,0,0,0.0,1227,3,SAVINGS,1
C0000003,ACC000003,1,3,31500,0.0222,7.12,1,1,0.2953,1227,3,SAVINGS,0
C0000003,ACC000001,2,3,8977,0.0086,10.54,1,1,0.2953,870,3,SAVINGS,0
C0000003,ACC000002,2,3,21823,0.024,11.41,1,1,0.2953,1451,3,SAVINGS,0
C0000003,ACC000003,3,3,61700,1.0,0.0,0,1,0.2953,1227,3,SAVINGS,1
C0000004,ACC001116,1,3,37800,0.037,5.1,1,0,0.0,1912,3,SAVINGS,0
C0000004,ACC001117,2,3,16127,0.0203,3.03,1,0,0.0,1383,3,CURRENT,0
C0000004,ACC001118,2,3,36073,0.0131,14.19,1,0,0.0,1036,3,SAVINGS,0
C0000004,ACC001118,3,3,71673,1.0,0.0,0,0,0.0,1036,3,SAVINGS,1
C0000005,ACC001249,1,3,21800,0.0275,17.56,1,0,0.0,753,3,SAVINGS,0
C0000005,ACC001251,2,3,12705,0.0083,12.36,1,0,0.0,749,3,SAVINGS,0
C0000005,ACC001250,2,3,8495,0.0112,6.84,1,0,0.0,602,3,SAVINGS,0
C0000005,ACC001251,3,3,33705,1.0,0.0,0,0,0.0,749,3,SAVINGS,1
C0000006,ACC000106,1,3,619300,0.026,20.63,1,0,0.0,771,6,SAVINGS,0
C0000006,ACC000110,2,3,603200,0.0252,7.27,1,0,0.0,228,6,SAVINGS,0
C0000006,ACC000111,3,3,588000,1.0,0.0,0,0,0.0,1169,6,SAVINGS,1
C0000007,ACC000022,1,5,16100,0.0062,23.78,1,0,0.0,431,8,CURRENT,0
C0000007,ACC000026,2,5,16000,0.0312,22.11,1,0,0.0,1512,8,SAVINGS,0
C0000007,ACC000023,3,5,15500,0.0258,8.25,1,0,0.0,2053,8,SAVINGS,0
C0000007,ACC000024,4,5,4236,0.0321,22.78,1,0,0.0,602,8,SAVINGS,0
C0000007,ACC000029,4,5,6001,0.0168,17.39,1,0,0.0,1482,8,SAVINGS,0
C0000007,ACC000028,4,5,4863,0.0335,21.52,1,0,0.0,707,8,CURRENT,0
C0000007,ACC000025,5,5,14700,1.0,0.0,0,0,0.0,396,8,CURRENT,1
C0000008,ACC000015,1,4,98900,0.0131,11.94,1,0,0.0,1880,12,CURRENT,0
C0000008,ACC000007,2,4,35564,0.013,6.35,1,0,0.0,1026,12,SAVINGS,0
C0000008,ACC000017,2,4,9823,0.0329,1.72,1,0,0.0,2033,12,CURRENT,0
C0000008,ACC000009,2,4,52214,0.0367,5.7,1,0,0.0,1772,12,SAVINGS,0
C0000008,ACC000014,3,4,94900,0.0137,23.77,1,0,0.0,886,12,SAVINGS,0
C0000008,ACC000010,4,4,93600,1.0,0.0,0,0,0.0,387,12,SAVINGS,1
C0000009,ACC001664,1,3,1637000,0.0093,21.33,1,0,0.0,69,3,SAVINGS,0
C0000009,ACC001663,2,3,1057624,0.0166,5.35,1,0,0.0,1944,3,SAVINGS,0
C0000009,ACC001662,2,3,564176,0.0056,14.21,1,0,0.0,1747,3,SAVINGS,0
C0000009,ACC001664,3,3,3238100,1.0,0.0,0,0,0.0,69,3,SAVINGS,1
C0000010,ACC000001,1,3,85500,0.0304,12.12,1,2,0.5034,870,3,SAVINGS,0
C0000010,ACC000002,2,3,39840,0.0261,23.59,1,2,0.5034,1451,3,SAVINGS,0
C0000010,ACC000003,2,3,81860,0.0386,20.65,1,2,0.5034,1227,3,SAVINGS,0
C0000010,ACC000003,3,3,160560,1.0,0.0,0,2,0.5034,1227,3,SAVINGS,1
C0000011,ACC000701,1,3,248000,0.0121,20.11,1,0,0.0,823,3,SAVINGS,0
C0000011,ACC000700,2,3,245000,0.0253,15.05,1,0,0.0,1992,3,SAVINGS,0
