complaint_id,victim_id,fraud_type,amount,state,city,destination_account,bank,complaint_timestamp,free_text_description,ring_id
C0000001,V0000001,Fraud,67300.0,Telangana,Hyderabad,ACC000251,Bank_B,2026-01-01T09:00:19.186741,Victim reported suspected fraud fraud of INR 67300 from Hyderabad. Transaction details and beneficiary account were provided.,R0043
C0000002,V0000002,Cheating,16700.0,Andhra Pradesh,Chennai,ACC000002,Bank_D,2026-01-01T09:00:19.656585,Victim reported suspected cheating fraud of INR 16700 from Chennai. Transaction details and beneficiary account were provided.,R0001
C0000003,V0000003,Cheating,31500.0,Odisha,Jaipur,ACC000003,Bank_C,2026-01-01T09:00:22.021940,Victim reported suspected cheating fraud of INR 31500 from Jaipur. Transaction details and beneficiary account were provided.,R0001
C0000004,V0000004,Fraud,37800.0,Telangana,Hyderabad,ACC001116,Bank_C,2026-01-01T09:00:29.839930,Victim reported suspected fraud fraud of INR 37800 from Hyderabad. Transaction details and beneficiary account were provided.,R0235
C0000005,V0000005,Cheating,21800.0,Telangana,Hyderabad,ACC001249,Bank_E,2026-01-01T09:00:33.735060,Victim reported suspected cheating fraud of INR 21800 from Hyderabad. Transaction details and beneficiary account were provided.,R0266
C0000006,V0000006,Fraud,619300.0,Telangana,Hyderabad,ACC000106,Bank_B,2026-01-01T09:00:34.019839,Victim reported suspected fraud fraud of INR 619300 from Hyderabad. Transaction details and beneficiary account were provided.,R0016
C0000007,V0000007,Fraud,16100.0,Bihar,Patna,ACC000022,Bank_B,2026-01-01T09:00:55.685963,Victim reported suspected fraud fraud of INR 16100 from Patna. Transaction details and beneficiary account were provided.,R0005
C0000008,V0000008,Fraud,98900.0,Telangana,Hyderabad,ACC000015,Bank_E,2026-01-01T09:01:07.347777,Victim reported suspected fraud fraud of INR 98900 from Hyderabad. Transaction details and beneficiary account were provided.,R0003
C0000009,V0000009,Fraud,1637000.0,Telangana,Hyderabad,ACC001664,Bank_A,2026-01-01T09:01:34.970537,Victim reported suspected fraud fraud of INR 1637000 from Hyderabad. Transaction details and beneficiary account were provided.,R0342
C0000010,V0000010,Fraud,85500.0,Bihar,Patna,ACC000001,Bank_C,2026-01-01T09:01:35.533152,Victim reported suspected fraud fraud of INR 85500 from Patna. Transaction details and beneficiary account were provided.,R0001
