ring_id,fraudster_id,ring_size,home_state
R0001,F00001,3,Telangana
R0002,F00002,3,Telangana
R0003,F00003,12,Telangana
R0004,F00004,3,Telangana
R0005,F00005,8,Bihar
R0006,F00006,3,Telangana
R0007,F00007,3,Telangana
R0008,F00008,5,Telangana
R0009,F00009,9,Bihar
R0010,F00010,5,Telangana
R0011,F00011,7,Odisha
R0012,F00012,3,Telangana
R0013,F00013,18,Telangana
R0014,F00014,5,Telangana
R0015,F00015,18,Telangana
R0016,F00016,6,Maharashtra
R0017,F00017,5,Telangana
R0018,F00018,6,Bihar
R0019,F00019,8,Telangana
R0020,F00020,3,Telangana
R0021,F00021,3,Telangana
R0022,F00022,3,Odisha
R0023,F00023,8,Telangana
R0024,F00024,3,Telangana
R0025,F00025,3,Telangana
R0026,F00026,3,Gujarat
R0027,F00027,6,Telangana
R0028,F00028,3,Andhra Pradesh
R0029,F00029,3,Bihar
R0030,F00030,4,Telangana
R0031,F00031,3,Telangana
R0032,F00032,18,Telangana
R0033,F00033,11,Odisha
R0034,F00034,3,Odisha
R0035,F00035,5,Telangana
R0036,F00036,4,Delhi
R0037,F00037,3,Bihar
R0038,F00038,18,Telangana
R0039,F00039,3,Maharashtra
R0040,F00040,4,Telangana
R0041,F00041,3,Tamil Nadu
R0042,F00042,3,Telangana
R0043,F00043,4,Telangana
R0044,F00044,3,Maharashtra
R0045,F00045,3,Telangana
R0046,F00046,3,Telangana
R0047,F00047,3,Punjab
R0048,F00048,4,Maharashtra
R0049,F00049,5,Telangana
R0050,F00050,3,Bihar
R0051,F00051,4,Kerala
R0052,F00052,8,Andhra Pradesh
R0053,F00053,6,Telangana
R0054,F00054,3,Telangana
R0055,F00055,4,Telangana
R0056,F00056,4,Telangana
R0057,F00057,4,Telangana
R0058,F00058,4,Telangana
R0059,F00059,3,Bihar
R0060,F00060,4,Bihar
R0061,F00061,3,Telangana
R0062,F00062,5,Telangana
R0063,F00063,3,Telangana
R0064,F00064,3,Telangana
R0065,F00065,3,Telangana
R0066,F00066,3,Telangana
R0067,F00067,18,Telangana
R0068,F00068,3,Maharashtra
R0069,F00069,3,Andhra Pradesh
R0070,F00070,3,Tamil Nadu
R0071,F00071,4,Maharashtra
R0072,F00072,18,Tamil Nadu
R0073,F00073,3,Telangana
R0074,F00074,3,Maharashtra
R0075,F00075,18,Bihar
R0076,F00076,3,Maharashtra
R0077,F00077,4,Maharashtra
R0078,F00078,3,Telangana
R0079,F00079,4,Telangana
R0080,F00080,3,Telangana
R0081,F00081,3,Telangana
R0082,F00082,6,Tamil Nadu
R0083,F00083,5,Telangana
R0084,F00084,8,Bihar
R0085,F00085,3,Andhra Pradesh
R0086,F00086,3,Bihar
R0087,F00087,3,Telangana
R0088,F00088,5,Telangana
R0089,F00089,3,Bihar
R0090,F00090,3,Telangana
R0091,F00091,4,Bihar
R0092,F00092,3,Telangana
R0093,F00093,3,Telangana
R0094,F00094,18,Odisha
R0095,F00095,3,Maharashtra
R0096,F00096,3,Telangana
R0097,F00097,5,Odisha
R0098,F00098,3,Bihar
R0099,F00099,6,Bihar
R0100,F00100,3,Telangana
R0101,F00101,3,Telangana
R0102,F00102,4,Telangana
R0103,F00103,3,Maharashtra
R0104,F00104,3,Telangana
R0105,F00105,4,Telangana
R0106,F00106,4,Telangana
R0107,F00107,3,Telangana
R0108,F00108,5,Maharashtra
R0109,F00109,4,Bihar
R0110,F00110,5,Telangana
R0111,F00111,4,Telangana
R0112,F00112,6,Kerala
R0113,F00113,3,Maharashtra
R0114,F00114,3,Telangana
R0115,F00115,3,Bihar
R0116,F00116,4,Telangana
R0117,F00117,5,Telangana
R0118,F00118,3,Telangana
R0119,F00119,3,Tamil Nadu
R0120,F00120,3,Telangana
R0121,F00121,9,Telangana
R0122,F00122,3,Telangana
R0123,F00123,3,Bihar
R0124,F00124,3,Tamil Nadu
R0125,F00125,3,Andhra Pradesh
R0126,F00126,3,Telangana
R0127,F00127,4,Odisha
R0128,F00128,3,Bihar
R0129,F00129,3,Bihar
R0130,F00130,4,Telangana
R0131,F00131,4,Bihar
R0132,F00132,6,Telangana
R0133,F00133,3,Telangana
R0134,F00134,12,Odisha
R0135,F00135,4,Telangana
R0136,F00136,3,Andhra Pradesh
R0137,F00137,3,Telangana
R0138,F00138,3,Telangana
R0139,F00139,13,Telangana
R0140,F00140,3,Bihar
R0141,F00141,3,Telangana
R0142,F00142,3,Telangana
R0143,F00143,3,Telangana
R0144,F00144,3,Telangana
R0145,F00145,3,Telangana
R0146,F00146,3,Maharashtra
R0147,F00147,3,Odisha
R0148,F00148,4,Telangana
R0149,F00149,3,Telangana
R0150,F00150,3,Andhra Pradesh
R0151,F00151,5,Telangana
R0152,F00152,5,Telangana
R0153,F00153,10,Bihar
R0154,F00154,3,Telangana
R0155,F00155,3,Bihar
R0156,F00156,14,Telangana
R0157,F00157,6,Maharashtra
R0158,F00158,4,Telangana
R0159,F00159,18,Telangana
R0160,F00160,3,Telangana
R0161,F00161,3,Bihar
R0162,F00162,3,Telangana
R0163,F00163,4,Maharashtra
R0164,F00164,5,Andhra Pradesh
R0165,F00165,3,Telangana
R0166,F00166,7,Odisha
R0167,F00167,3,Telangana
R0168,F00168,3,Telangana
R0169,F00169,4,Odisha
R0170,F00170,3,Telangana
R0171,F00171,7,Maharashtra
R0172,F00172,16,Telangana
R0173,F00173,3,Maharashtra
R0174,F00174,3,Telangana
R0175,F00175,4,Bihar
R0176,F00176,3,Andhra Pradesh
R0177,F00177,3,Tamil Nadu
R0178,F00178,3,Uttar Pradesh
R0179,F00179,3,Telangana
R0180,F00180,3,Telangana
R0181,F00181,3,Telangana
R0182,F00182,3,Telangana
R0183,F00183,3,Telangana
R0184,F00184,14,Maharashtra
R0185,F00185,3,Telangana
R0186,F00186,7,Telangana
R0187,F00187,3,Odisha
R0188,F00188,3,Bihar
R0189,F00189,3,Telangana
R0190,F00190,3,Maharashtra
R0191,F00191,3,Telangana
R0192,F00192,3,Maharashtra
R0193,F00193,4,Bihar
R0194,F00194,10,Telangana
R0195,F00195,3,Bihar
R0196,F00196,3,Bihar
R0197,F00197,3,Telangana
R0198,F00198,4,Telangana
R0199,F00199,3,Gujarat
R0200,F00200,6,Maharashtra
R0201,F00201,3,Telangana
R0202,F00202,3,Telangana
R0203,F00203,5,Telangana
R0204,F00204,3,Bihar
R0205,F00205,3,Andhra Pradesh
R0206,F00206,4,Maharashtra
R0207,F00207,3,Bihar
R0208,F00208,3,Telangana
R0209,F00209,18,Bihar
R0210,F00210,3,Telangana
R0211,F00211,5,Telangana
R0212,F00212,3,Telangana
R0213,F00213,6,Kerala
R0214,F00214,5,Telangana
R0215,F00215,13,Telangana
R0216,F00216,4,Telangana
R0217,F00217,3,Bihar
R0218,F00218,3,Bihar
R0219,F00219,3,Telangana
R0220,F00220,3,Tamil Nadu
R0221,F00221,3,Maharashtra
R0222,F00222,3,Telangana
R0223,F00223,3,Telangana
R0224,F00224,3,Telangana
R0225,F00225,3,Maharashtra
R0226,F00226,3,Telangana
R0227,F00227,10,Andhra Pradesh
R0228,F00228,5,Telangana
R0229,F00229,4,Telangana
R0230,F00230,3,Bihar
R0231,F00231,3,Bihar
R0232,F00232,3,Tamil Nadu
R0233,F00233,3,Telangana
R0234,F00234,3,Telangana
R0235,F00235,3,Telangana
R0236,F00236,3,Telangana
R0237,F00237,3,Telangana
R0238,F00238,3,Telangana
R0239,F00239,3,Andhra Pradesh
R0240,F00240,3,Bihar
R0241,F00241,3,Telangana
R0242,F00242,11,Telangana
R0243,F00243,4,Maharashtra
R0244,F00244,3,Telangana
R0245,F00245,3,Telangana
R0246,F00246,3,Telangana
R0247,F00247,6,Telangana
R0248,F00248,3,Tamil Nadu
R0249,F00249,4,Odisha
R0250,F00250,3,Tamil Nadu
R0251,F00251,6,Telangana
R0252,F00252,3,Telangana
R0253,F00253,5,Telangana
R0254,F00254,3,Maharashtra
R0255,F00255,17,Maharashtra
R0256,F00256,4,Telangana
R0257,F00257,3,Telangana
R0258,F00258,3,Bihar
R0259,F00259,3,Bihar
R0260,F00260,4,Telangana
R0261,F00261,4,Bihar
R0262,F00262,7,Telangana
R0263,F00263,4,Maharashtra
R0264,F00264,3,Bihar
R0265,F00265,3,Telangana
R0266,F00266,3,Bihar
R0267,F00267,3,Maharashtra
R0268,F00268,18,Bihar
R0269,F00269,4,Bihar
R0270,F00270,3,Andhra Pradesh
R0271,F00271,8,Bihar
R0272,F00272,6,Bihar
R0273,F00273,3,Bihar
R0274,F00274,18,Telangana
R0275,F00275,11,Telangana
R0276,F00276,3,Tamil Nadu
R0277,F00277,4,Odisha
R0278,F00278,12,Telangana
R0279,F00279,3,Telangana
R0280,F00280,3,Telangana
R0281,F00281,10,Andhra Pradesh
R0282,F00282,7,Chhattisgarh
R0283,F00283,3,Maharashtra
R0284,F00284,3,Maharashtra
R0285,F00285,8,Telangana
R0286,F00286,6,Tamil Nadu
R0287,F00287,4,Bihar
R0288,F00288,4,Odisha
R0289,F00289,3,Telangana
R0290,F00290,3,Bihar
R0291,F00291,3,Telangana
R0292,F00292,3,Bihar
R0293,F00293,3,Telangana
R0294,F00294,3,Bihar
R0295,F00295,3,Telangana
R0296,F00296,3,Telangana
R0297,F00297,3,Telangana
R0298,F00298,10,Telangana
R0299,F00299,18,Telangana
R0300,F00300,3,Telangana
R0301,F00301,4,Telangana
R0302,F00302,18,Bihar
R0303,F00303,3,Telangana
R0304,F00304,4,Telangana
R0305,F00305,3,Telangana
R0306,F00306,3,Telangana
R0307,F00307,3,Odisha
R0308,F00308,5,Telangana
R0309,F00309,3,Maharashtra
R0310,F00310,4,Bihar
R0311,F00311,3,Telangana
R0312,F00312,9,Tamil Nadu
R0313,F00313,3,Maharashtra
R0314,F00314,3,Odisha
R0315,F00315,3,Odisha
R0316,F00316,3,Odisha
R0317,F00317,3,Odisha
R0318,F00318,3,Telangana
R0319,F00319,4,Maharashtra
R0320,F00320,7,Telangana
R0321,F00321,3,Telangana
R0322,F00322,3,Telangana
R0323,F00323,18,Odisha
R0324,F00324,9,Telangana
R0325,F00325,3,Telangana
R0326,F00326,3,Telangana
R0327,F00327,3,Telangana
R0328,F00328,3,Telangana
R0329,F00329,3,Telangana
R0330,F00330,6,Maharashtra
R0331,F00331,3,Telangana
R0332,F00332,4,Kerala
R0333,F00333,18,Telangana
R0334,F00334,3,Telangana
R0335,F00335,3,Bihar
R0336,F00336,3,Telangana
R0337,F00337,17,Bihar
R0338,F00338,3,Telangana
R0339,F00339,3,Bihar
R0340,F00340,3,Telangana
R0341,F00341,3,Bihar
R0342,F00342,3,Telangana
R0343,F00343,3,Telangana
R0344,F00344,3,Telangana
R0345,F00345,9,Telangana
R0346,F00346,5,Telangana
R0347,F00347,5,Telangana
R0348,F00348,18,Maharashtra
R0349,F00349,3,Telangana
R0350,F00350,4,Bihar
R0351,F00351,3,Telangana
R0352,F00352,5,Bihar
R0353,F00353,4,Telangana
R0354,F00354,3,Telangana
R0355,F00355,3,Telangana
R0356,F00356,4,Telangana
R0357,F00357,5,Telangana
R0358,F00358,3,Telangana
R0359,F00359,18,Telangana
R0360,F00360,3,Telangana
R0361,F00361,3,Telangana
R0362,F00362,5,Bihar
R0363,F00363,3,Bihar
R0364,F00364,18,Bihar
R0365,F00365,3,Telangana
R0366,F00366,3,Tamil Nadu
R0367,F00367,4,Telangana
R0368,F00368,3,Telangana
R0369,F00369,3,Odisha
R0370,F00370,3,Telangana
R0371,F00371,3,Telangana
R0372,F00372,3,Maharashtra
R0373,F00373,4,Odisha
R0374,F00374,3,Maharashtra
R0375,F00375,3,Bihar
R0376,F00376,3,Bihar
R0377,F00377,3,Telangana
R0378,F00378,4,Tamil Nadu
R0379,F00379,3,Odisha
R0380,F00380,3,Telangana
R0381,F00381,3,Telangana
R0382,F00382,7,Telangana
R0383,F00383,6,Telangana
R0384,F00384,3,Telangana
R0385,F00385,3,Odisha
R0386,F00386,3,Uttar Pradesh
R0387,F00387,3,Telangana
R0388,F00388,9,Telangana
R0389,F00389,3,Bihar
R0390,F00390,3,Telangana
R0391,F00391,5,Telangana
R0392,F00392,3,Bihar
R0393,F00393,5,Telangana
R0394,F00394,3,Telangana
R0395,F00395,3,Andhra Pradesh
R0396,F00396,3,Telangana
R0397,F00397,3,Telangana
R0398,F00398,4,Maharashtra
R0399,F00399,4,Telangana
R0400,F00400,8,Telangana
