fraudster_id,home_state
F00001,Telangana
F00002,Telangana
F00003,Telangana
F00004,Telangana
F00005,Bihar
F00006,Telangana
F00007,Telangana
F00008,Telangana
F00009,Bihar
F00010,Telangana
F00011,Odisha
F00012,Telangana
F00013,Telangana
F00014,Telangana
F00015,Telangana
F00016,Maharashtra
F00017,Telangana
F00018,Bihar
F00019,Telangana
F00020,Telangana
F00021,Telangana
F00022,Odisha
F00023,Telangana
F00024,Telangana
F00025,Telangana
F00026,Gujarat
F00027,Telangana
F00028,Andhra Pradesh
F00029,Bihar
F00030,Telangana
F00031,Telangana
F00032,Telangana
F00033,Odisha
F00034,Odisha
F00035,Telangana
F00036,Delhi
F00037,Bihar
F00038,Telangana
F00039,Maharashtra
F00040,Telangana
F00041,Tamil Nadu
F00042,Telangana
F00043,Telangana
F00044,Maharashtra
F00045,Telangana
F00046,Telangana
F00047,Punjab
F00048,Maharashtra
F00049,Telangana
F00050,Bihar
F00051,Kerala
F00052,Andhra Pradesh
F00053,Telangana
F00054,Telangana
F00055,Telangana
F00056,Telangana
F00057,Telangana
F00058,Telangana
F00059,Bihar
F00060,Bihar
F00061,Telangana
F00062,Telangana
F00063,Telangana
F00064,Telangana
F00065,Telangana
F00066,Telangana
F00067,Telangana
F00068,Maharashtra
F00069,Andhra Pradesh
F00070,Tamil Nadu
F00071,Maharashtra
F00072,Tamil Nadu
F00073,Telangana
F00074,Maharashtra
F00075,Bihar
F00076,Maharashtra
F00077,Maharashtra
F00078,Telangana
F00079,Telangana
F00080,Telangana
F00081,Telangana
F00082,Tamil Nadu
F00083,Telangana
F00084,Bihar
F00085,Andhra Pradesh
F00086,Bihar
F00087,Telangana
F00088,Telangana
F00089,Bihar
F00090,Telangana
F00091,Bihar
F00092,Telangana
F00093,Telangana
F00094,Odisha
F00095,Maharashtra
F00096,Telangana
F00097,Odisha
F00098,Bihar
F00099,Bihar
F00100,Telangana
F00101,Telangana
F00102,Telangana
F00103,Maharashtra
F00104,Telangana
F00105,Telangana
F00106,Telangana
