account_id,transaction_velocity_24h,unique_counterparties_7d,incoming_outgoing_ratio,avg_holding_time_minutes,ring_membership,prior_case_count,is_fraud_account
NACC000001,1.629,2,1.096,489.86,0,0,0
NACC000002,3.395,4,0.654,427.27,0,0,0
NACC000003,6.838,4,0.947,435.98,0,0,0
NACC000004,3.567,1,1.197,309.86,0,0,0
NACC000005,3.185,3,1.397,245.58,0,0,0
NACC000006,1.385,1,1.052,365.25,0,0,0
NACC000007,1.771,1,1.492,1069.5,0,0,0
NACC000008,0.874,4,1.476,526.43,0,0,0
NACC000009,1.726,2,0.691,308.76,0,0,0
NACC000010,0.788,5,1.359,207.9,0,0,0
NACC000011,6.802,2,1.092,199.5,0,0,0
NACC000012,1.577,5,1.012,907.27,0,0,0
NACC000013,4.481,2,1.198,275.92,0,0,0
NACC000014,1.975,1,1.42,290.82,0,0,0
NACC000015,0.744,2,0.638,277.5,0,0,0
NACC000016,0.416,3,0.747,302.58,0,0,0
NACC000017,0.704,2,1.493,449.22,0,0,0
NACC000018,6.449,3,1.338,487.98,0,0,0
NACC000019,4.939,1,1.498,536.68,0,0,0
NACC000020,4.859,3,1.498,186.02,0,0,0
NACC000021,1.617,2,1.193,672.0,0,0,0
NACC000022,2.137,1,0.603,210.03,0,0,0
NACC000023,3.969,4,1.108,394.55,0,0,0
NACC000024,2.789,4,0.684,637.8,0,0,0
NACC000025,4.674,4,0.827,225.23,0,0,0
NACC000026,3.821,2,1.417,698.6,0,0,0
NACC000027,0.92,4,1.223,355.64,0,0,0
NACC000028,0.185,1,0.929,622.08,0,0,0
NACC000029,4.37,3,0.834,368.06,0,0,0
NACC000030,2.785,1,1.012,339.75,0,0,0
NACC000031,1.087,4,0.97,507.87,0,0,0
NACC000032,2.307,1,0.994,466.02,0,0,0
NACC000033,2.205,3,0.653,794.42,0,0,0
NACC000034,1.97,4,0.871,468.05,0,0,0
NACC000035,1.059,4,1.383,861.03,0,0,0
NACC000036,1.973,1,0.847,432.56,0,0,0
NACC000037,1.306,3,1.393,135.07,0,0,0
NACC000038,1.952,1,0.711,609.7,0,0,0
NACC000039,1.669,3,0.739,204.63,0,0,0
NACC000040,3.324,3,1.208,302.16,0,0,0
NACC000041,1.614,5,1.396,405.75,0,0,0
NACC000042,0.477,1,1.076,570.4,0,0,0
NACC000043,0.678,2,0.992,328.87,0,0,0
NACC000044,0.94,1,0.887,594.06,0,0,0
NACC000045,5.786,3,1.015,544.76,0,0,0
NACC000046,0.22,5,0.903,217.22,0,0,0
NACC000047,1.708,5,1.427,388.29,0,0,0
NACC000048,1.573,5,1.35,72.85,0,0,0
NACC000049,0.523,1,1.479,484.36,0,0,0
NACC000050,6.903,3,0.983,539.12,0,0,0
NACC000051,4.896,3,1.065,421.14,0,0,0
NACC000052,0.931,3,1.232,516.6,0,0,0
NACC000053,2.152,3,0.827,536.57,0,0,0
NACC000054,0.477,1,0.914,405.45,0,0,0
NACC000055,3.301,3,1.022,374.01,0,0,0
NACC000056,1.464,1,1.48,645.53,0,0,0
NACC000057,2.86,5,1.42,654.45,0,0,0
NACC000058,7.632,1,1.265,265.2,0,0,0
