victim_id,state,city,age_bracket,bank,account_balance_tier,fraud_type
V0000001,Telangana,Hyderabad,18-25,Bank_E,Low,Fraud
V0000002,Andhra Pradesh,Chennai,26-35,Bank_C,Low,Cheating
V0000003,Odisha,Jaipur,36-50,Bank_D,Low,Cheating
V0000004,Telangana,Hyderabad,26-35,Bank_B,Low,Fraud
V0000005,Telangana,Hyderabad,36-50,Bank_E,Low,Cheating
V0000006,Telangana,Hyderabad,51+,Bank_B,Low,Fraud
V0000007,Bihar,Patna,51+,Bank_B,High,Fraud
V0000008,Telangana,Hyderabad,51+,Bank_C,Low,Fraud
V0000009,Telangana,Hyderabad,36-50,Bank_B,Low,Fraud
V0000010,Bihar,Patna,18-25,Bank_E,Medium,Fraud
V0000011,Telangana,Hyderabad,51+,Bank_E,Low,Data theft
V0000012,Telangana,Hyderabad,18-25,Bank_B,Medium,Fraud
V0000013,Delhi,Delhi,18-25,Bank_B,Low,Cheating
V0000014,Andhra Pradesh,Pune,18-25,Bank_D,Medium,Cheating
V0000015,Bihar,Patna,36-50,Bank_D,Low,Cheating
V0000016,Maharashtra,Pune,36-50,Bank_E,Medium,Cheating
V0000017,Bihar,Patna,51+,Bank_C,Medium,Fraud
V0000018,Telangana,Hyderabad,36-50,Bank_D,Low,Fraud
V0000019,Telangana,Hyderabad,18-25,Bank_B,Low,Cheating
V0000020,Telangana,Hyderabad,51+,Bank_E,Low,Fraud
V0000021,Bihar,Patna,18-25,Bank_A,High,Fraud
V0000022,Telangana,Hyderabad,51+,Bank_B,Low,Cheating
V0000023,Telangana,Hyderabad,36-50,Bank_B,Low,Cheating
V0000024,Bihar,Patna,18-25,Bank_B,Low,Cheating
V0000025,Maharashtra,Mumbai,51+,Bank_C,Medium,Cheating
V0000026,Maharashtra,Mumbai,36-50,Bank_B,Medium,Cheating
V0000027,Andhra Pradesh,Hyderabad,51+,Bank_C,Low,Cheating
V0000028,Bihar,Patna,26-35,Bank_E,High,Fraud
V0000029,Telangana,Hyderabad,26-35,Bank_A,High,Fraud
V0000030,Telangana,Hyderabad,51+,Bank_B,Medium,Fraud
V0000031,Maharashtra,Mumbai,26-35,Bank_A,Medium,Fraud
V0000032,Tamil Nadu,Chennai,36-50,Bank_B,High,Fraud
V0000033,Telangana,Hyderabad,18-25,Bank_D,High,Fraud
V0000034,Telangana,Hyderabad,18-25,Bank_E,Low,Fraud
V0000035,Telangana,Hyderabad,18-25,Bank_D,Low,Cheating
V0000036,Telangana,Hyderabad,26-35,Bank_E,Medium,Fraud
V0000037,Telangana,Hyderabad,18-25,Bank_B,Low,Fraud
V0000038,Telangana,Hyderabad,36-50,Bank_E,Low,Cheating
V0000039,Telangana,Hyderabad,26-35,Bank_C,High,Cheating
V0000040,Andhra Pradesh,Kolkata,36-50,Bank_E,Medium,Fraud
V0000041,Telangana,Hyderabad,18-25,Bank_E,Low,Fraud
V0000042,Telangana,Hyderabad,36-50,Bank_B,High,Cheating
V0000043,Bihar,Patna,26-35,Bank_E,Low,Fraud
V0000044,Telangana,Hyderabad,26-35,Bank_B,High,Fraud
V0000045,Bihar,Patna,51+,Bank_C,High,Cheating
V0000046,Telangana,Hyderabad,36-50,Bank_C,High,Fraud
V0000047,Telangana,Hyderabad,36-50,Bank_C,Low,Cheating
V0000048,Bihar,Patna,18-25,Bank_D,Low,Fraud
V0000049,Telangana,Hyderabad,26-35,Bank_A,High,Cheating
V0000050,Bihar,Patna,26-35,Bank_C,Medium,Fraud
V0000051,Telangana,Hyderabad,18-25,Bank_A,Low,Cheating
V0000052,Telangana,Hyderabad,26-35,Bank_A,High,Fraud
V0000053,Telangana,Hyderabad,36-50,Bank_E,Low,Fraud
V0000054,Telangana,Hyderabad,36-50,Bank_A,High,Cheating
V0000055,Telangana,Hyderabad,26-35,Bank_E,Low,Forgery
V0000056,Bihar,Patna,18-25,Bank_A,Low,Fraud
V0000057,Andhra Pradesh,Mumbai,51+,Bank_D,Low,Cheating
V0000058,Bihar,Patna,18-25,Bank_D,Low,Cheating
V0000059,Maharashtra,Mumbai,51+,Bank_B,High,Cheating
V0000060,Maharashtra,Mumbai,36-50,Bank_C,Low,Fraud
V0000061,Tamil Nadu,Chennai,36-50,Bank_C,Low,Cheating
V0000062,Tamil Nadu,Chennai,51+,Bank_A,Low,Fraud
V0000063,Bihar,Patna,26-35,Bank_C,High,Cheating
V0000064,Maharashtra,Mumbai,18-25,Bank_A,Medium,Fraud
V0000065,Maharashtra,Mumbai,36-50,Bank_B,High,Cheating
V0000066,Tamil Nadu,Chennai,26-35,Bank_C,Medium,Cheating
V0000067,Telangana,Hyderabad,18-25,Bank_D,High,Fraud
V0000068,Telangana,Hyderabad,26-35,Bank_A,High,Cheating
V0000069,Telangana,Hyderabad,51+,Bank_D,Low,Fraud
V0000070,Telangana,Hyderabad,18-25,Bank_C,Medium,Fraud
V0000071,Telangana,Hyderabad,51+,Bank_C,Low,Fraud
V0000072,Andhra Pradesh,Lucknow,36-50,Bank_B,High,Fraud
V0000073,Telangana,Hyderabad,26-35,Bank_C,Low,Cheating
V0000074,Maharashtra,Mumbai,26-35,Bank_A,Low,Cheating
