withdrawal_id,complaint_id,terminal_account,channel,location_id,bank,city,state,latitude,longitude,withdrawal_amount,withdrawal_timestamp,time_bucket,split_index,split_count
W00000001,C0000001,ACC000252,ATM,ATM_HYD_001,Bank_A,Hyderabad,Telangana,17.385,78.4867,67300.0,2026-01-01T20:57:00,Evening,1,1
W00000002,C0000002,ACC000003,ATM,ATM_HYD_001,Bank_A,Hyderabad,Telangana,17.385,78.4867,16700.0,2026-01-01T20:53:00,Evening,1,1
W00000003,C0000003,ACC000003,BRANCH,BR_HYD_001,Bank_C,Hyderabad,Telangana,17.385,78.4867,31500.0,2026-01-01T11:50:37.672761,BankingHours,1,1
W00000004,C0000004,ACC001118,ATM,ATM_PUN_001,Bank_A,Pune,Maharashtra,18.5204,73.8567,37800.0,2026-01-01T23:37:00,Night,1,1
W00000005,C0000005,ACC001251,ATM,ATM_PAT_001,Bank_B,Patna,Bihar,25.5941,85.1376,21800.0,2026-01-01T22:23:00,Night,1,1
W00000006,C0000006,ACC000111,BRANCH,BR_PUN_001,Bank_C,Pune,Maharashtra,18.5204,73.8567,619300.0,2026-01-01T11:15:00.497362,BankingHours,1,1
W00000007,C0000007,ACC000025,ATM,ATM_HYD_001,Bank_A,Hyderabad,Telangana,17.385,78.4867,16100.0,2026-01-01T21:18:00,Evening,1,1
W00000008,C0000008,ACC000010,BRANCH,BR_HYD_001,Bank_C,Hyderabad,Telangana,17.385,78.4867,98900.0,2026-01-01T10:54:07.637157,BankingHours,1,1
W00000009,C0000009,ACC001664,BRANCH,BR_HYD_001,Bank_C,Hyderabad,Telangana,17.385,78.4867,818500.0,2026-01-01T14:30:18.487234,BankingHours,1,2
W00000010,C0000009,ACC001664,BRANCH,BR_HYD_001,Bank_C,Hyderabad,Telangana,17.385,78.4867,818500.0,2026-01-01T14:35:18.487234,BankingHours,2,2
W00000011,C0000010,ACC000003,ATM,ATM_HYD_001,Bank_A,Hyderabad,Telangana,17.385,78.4867,85500.0,2026-01-01T14:50:00,Afternoon,1,1
W00000012,C0000011,ACC000699,BRANCH,BR_HYD_001,Bank_C,Hyderabad,Telangana,17.385,78.4867,248000.0,2026-01-02T13:59:00,BankingHours,1,1
