complaint_id,fraud_type,amount,state,city,chain_depth,prior_case_count,mule_reputation,account_age_days,ring_size,account_type,channel
C0000001,Fraud,67300.0,Telangana,Hyderabad,3,0,0.0,1131,4,SAVINGS,ATM
C0000002,Cheating,16700.0,Andhra Pradesh,Chennai,3,0,0.0,1227,3,SAVINGS,ATM
C0000003,Cheating,31500.0,Odisha,Jaipur,3,1,0.2953,1227,3,SAVINGS,BRANCH
C0000004,Fraud,37800.0,Telangana,Hyderabad,3,0,0.0,1036,3,SAVINGS,ATM
C0000005,Cheating,21800.0,Telangana,Hyderabad,3,0,0.0,749,3,SAVINGS,ATM
C0000006,Fraud,619300.0,Telangana,Hyderabad,3,0,0.0,1169,6,SAVINGS,BRANCH
C0000007,Fraud,16100.0,Bihar,Patna,5,0,0.0,396,8,CURRENT,ATM
C0000008,Fraud,98900.0,Telangana,Hyderabad,4,0,0.0,387,12,SAVINGS,BRANCH
C0000009,Fraud,1637000.0,Telangana,Hyderabad,3,0,0.0,69,3,SAVINGS,BRANCH
C0000010,Fraud,85500.0,Bihar,Patna,3,2,0.5034,1227,3,SAVINGS,ATM
C0000011,Data theft,248000.0,Telangana,Hyderabad,3,0,0.0,1715,3,SAVINGS,BRANCH
C0000012,Fraud,6900.0,Telangana,Hyderabad,3,3,0.6501,1227,3,SAVINGS,ATM
C0000013,Cheating,9800.0,Delhi,Delhi,4,0,0.0,2197,6,CURRENT,BRANCH
C0000014,Cheating,3300.0,Andhra Pradesh,Pune,3,1,0.2953,2053,8,SAVINGS,ATM
C0000015,Cheating,12000.0,Bihar,Patna,3,0,0.0,1935,3,SAVINGS,ATM
C0000016,Cheating,112300.0,Maharashtra,Pune,3,0,0.0,873,3,SAVINGS,ATM
C0000017,Fraud,65300.0,Bihar,Patna,3,0,0.0,2179,18,SAVINGS,ATM
C0000018,Fraud,22000.0,Telangana,Hyderabad,4,0,0.0,2101,8,SAVINGS,BRANCH
C0000019,Cheating,15100.0,Telangana,Hyderabad,3,0,0.0,290,7,SAVINGS,ATM
C0000020,Fraud,6400.0,Telangana,Hyderabad,3,0,0.0,1619,3,SAVINGS,BRANCH
C0000021,Fraud,4100.0,Bihar,Patna,3,0,0.0,548,3,CURRENT,BRANCH
C0000022,Cheating,36000.0,Telangana,Hyderabad,3,1,0.2953,1301,3,SAVINGS,ATM
C0000023,Cheating,1857200.0,Telangana,Hyderabad,3,0,0.0,1756,3,SAVINGS,BRANCH
C0000024,Cheating,49100.0,Bihar,Patna,4,0,0.0,1441,5,SAVINGS,ATM
