complaint_id,fraud_type,amount,complaint_state,complaint_city,chain_depth,prior_case_count,mule_reputation,account_age_days,ring_size,account_type,channel,time_bucket,delay_minutes
C0000001,Fraud,67300.0,Telangana,Hyderabad,3,0,0.0,1131,4,SAVINGS,ATM,Evening,716.6802209833334
C0000002,Cheating,16700.0,Andhra Pradesh,Chennai,3,0,0.0,1227,3,SAVINGS,ATM,Evening,712.67239025
C0000003,Cheating,31500.0,Odisha,Jaipur,3,1,0.2953,1227,3,SAVINGS,BRANCH,BankingHours,
C0000004,Fraud,37800.0,Telangana,Hyderabad,3,0,0.0,1036,3,SAVINGS,ATM,Night,876.5026678333332
C0000005,Cheating,21800.0,Telangana,Hyderabad,3,0,0.0,749,3,SAVINGS,ATM,Night,802.437749
C0000006,Fraud,619300.0,Telangana,Hyderabad,3,0,0.0,1169,6,SAVINGS,BRANCH,BankingHours,
C0000007,Fraud,16100.0,Bihar,Patna,5,0,0.0,396,8,CURRENT,ATM,Evening,737.0719006166667
C0000008,Fraud,98900.0,Telangana,Hyderabad,4,0,0.0,387,12,SAVINGS,BRANCH,BankingHours,
C0000009,Fraud,1637000.0,Telangana,Hyderabad,3,0,0.0,69,3,SAVINGS,BRANCH,BankingHours,
C0000009,Fraud,1637000.0,Telangana,Hyderabad,3,0,0.0,69,3,SAVINGS,BRANCH,BankingHours,
C0000010,Fraud,85500.0,Bihar,Patna,3,2,0.5034,1227,3,SAVINGS,ATM,Afternoon,348.4077808
C0000011,Data theft,248000.0,Telangana,Hyderabad,3,0,0.0,1715,3,SAVINGS,BRANCH,BankingHours,1737.2888495833333
C0000012,Fraud,6900.0,Telangana,Hyderabad,3,3,0.6501,1227,3,SAVINGS,ATM,Evening,679.2693939
C0000013,Cheating,9800.0,Delhi,Delhi,4,0,0.0,2197,6,CURRENT,BRANCH,BankingHours,
C0000014,Cheating,3300.0,Andhra Pradesh,Pune,3,1,0.2953,2053,8,SAVINGS,ATM,Evening,583.10854485
C0000015,Cheating,12000.0,Bihar,Patna,3,0,0.0,1935,3,SAVINGS,ATM,Night,892.4776759666668
C0000016,Cheating,112300.0,Maharashtra,Pune,3,0,0.0,873,3,SAVINGS,ATM,Afternoon,474.0997913
C0000017,Fraud,65300.0,Bihar,Patna,3,0,0.0,2179,18,SAVINGS,ATM,Night,836.4496050500001
C0000018,Fraud,22000.0,Telangana,Hyderabad,4,0,0.0,2101,8,SAVINGS,BRANCH,BankingHours,
C0000019,Cheating,15100.0,Telangana,Hyderabad,3,0,0.0,290,7,SAVINGS,ATM,Night,845.6382544
C0000020,Fraud,6400.0,Telangana,Hyderabad,3,0,0.0,1619,3,SAVINGS,BRANCH,BankingHours,
C0000021,Fraud,4100.0,Bihar,Patna,3,0,0.0,548,3,CURRENT,BRANCH,BankingHours,
C0000022,Cheating,36000.0,Telangana,Hyderabad,3,1,0.2953,1301,3,SAVINGS,ATM,Night,870.2183685666666
C0000023,Cheating,1857200.0,Telangana,Hyderabad,3,0,0.0,1756,3,SAVINGS,BRANCH,BankingHours,
C0000024,Cheating,49100.0,Bihar,Patna,4,0,0.0,1441,5,SAVINGS,ATM,Afternoon,366.0550067166667
C0000025,Cheating,1406100.0,Maharashtra,Mumbai,3,2,0.5034,1654,3,SAVINGS,BRANCH,BankingHours,
C0000025,Cheating,1406100.0,Maharashtra,Mumbai,3,2,0.5034,1654,3,SAVINGS,BRANCH,BankingHours,
C0000025,Cheating,1406100.0,Maharashtra,Mumbai,3,2,0.5034,1654,3,SAVINGS,BRANCH,BankingHours,
C0000026,Cheating,6500.0,Maharashtra,Mumbai,4,0,0.0,277,5,SAVINGS,ATM,Night,858.6619773
C0000027,Cheating,1000.0,Andhra Pradesh,Hyderabad,3,1,0.2953,873,3,SAVINGS,BRANCH,BankingHours,
C0000028,Fraud,165300.0,Bihar,Patna,3,0,0.0,935,3,SAVINGS,ATM,Evening,523.38096305
C0000029,Fraud,2500.0,Telangana,Hyderabad,3,0,0.0,906,3,CURRENT,ATM,Afternoon,402.31786078333334
C0000030,Fraud,26800.0,Telangana,Hyderabad,3,0,0.0,566,3,SAVINGS,ATM,Morning,-156.70344500000002
C0000031,Fraud,18100.0,Maharashtra,Mumbai,4,0,0.0,1086,18,SAVINGS,BRANCH,BankingHours,
C0000032,Fraud,23700.0,Tamil Nadu,Chennai,3,1,0.2953,157,3,SAVINGS,BRANCH,BankingHours,
C0000033,Fraud,113600.0,Telangana,Hyderabad,3,0,0.0,1331,11,SAVINGS,ATM,Night,817.058672
C0000034,Fraud,695800.0,Telangana,Hyderabad,3,4,0.7534,1227,3,SAVINGS,BRANCH,BankingHours,1831.0262794833334
C0000035,Cheating,204400.0,Telangana,Hyderabad,3,0,0.0,1054,3,SAVINGS,BRANCH,BankingHours,
C0000036,Fraud,54800.0,Telangana,Hyderabad,3,5,0.8262,1227,3,SAVINGS,ATM,Evening,663.7364221166666
C0000037,Fraud,65600.0,Telangana,Hyderabad,3,1,0.2953,548,3,CURRENT,BRANCH,BankingHours,
C0000038,Cheating,499400.0,Telangana,Hyderabad,3,6,0.8775,870,3,SAVINGS,BRANCH,BankingHours,
C0000038,Cheating,499400.0,Telangana,Hyderabad,3,6,0.8775,870,3,SAVINGS,BRANCH,BankingHours,
C0000038,Cheating,499400.0,Telangana,Hyderabad,3,6,0.8775,870,3,SAVINGS,BRANCH,BankingHours,
C0000039,Cheating,87700.0,Telangana,Hyderabad,3,0,0.0,2091,3,CURRENT,ATM,Afternoon,438.54663421666663
C0000040,Fraud,42800.0,Andhra Pradesh,Kolkata,4,1,0.2953,1026,12,SAVINGS,BRANCH,BankingHours,
C0000041,Fraud,4500.0,Telangana,Hyderabad,4,0,0.0,260,6,SAVINGS,BRANCH,BankingHours,
C0000042,Cheating,1200.0,Telangana,Hyderabad,3,0,0.0,31,3,SAVINGS,ATM,Night,838.1962323666667
C0000043,Fraud,18100.0,Bihar,Patna,3,0,0.0,297,12,SAVINGS,ATM,Evening,674.1469919666666
C0000044,Fraud,12000.0,Telangana,Hyderabad,3,7,0.9137,1227,3,SAVINGS,ATM,Night,876.7314281
C0000045,Cheating,13200.0,Bihar,Patna,3,1,0.2953,270,5,SAVINGS,ATM,Evening,561.6527605333333
C0000046,Fraud,2600.0,Telangana,Hyderabad,3,8,0.9392,1227,3,SAVINGS,ATM,Night,828.4394334333333
C0000047,Cheating,8400.0,Telangana,Hyderabad,3,9,0.9571,1227,3,SAVINGS,BRANCH,BankingHours,1849.3997087833334
C0000048,Fraud,23500.0,Bihar,Patna,3,0,0.0,1768,3,SAVINGS,ATM,Morning,36.866102166666664
C0000049,Cheating,192400.0,Telangana,Hyderabad,3,3,0.6501,1619,3,SAVINGS,BRANCH,BankingHours,
C0000050,Fraud,62500.0,Bihar,Patna,3,1,0.2953,1797,3,SAVINGS,ATM,Night,840.2866597
C0000051,Cheating,25800.0,Telangana,Hyderabad,3,2,0.5034,1026,12,SAVINGS,ATM,Evening,1927.0631489166667
C0000052,Fraud,67600.0,Telangana,Hyderabad,2,0,0.0,912,18,SAVINGS,ATM,Evening,638.6263379333334
C0000053,Fraud,21400.0,Telangana,Hyderabad,3,2,0.5034,1812,5,SAVINGS,ATM,Morning,165.09847281666669
C0000054,Cheating,3300.0,Telangana,Hyderabad,3,0,0.0,1383,3,SAVINGS,ATM,Night,856.3399609666667
C0000055,Forgery,296500.0,Telangana,Hyderabad,4,0,0.0,1425,9,CURRENT,ATM,Night,780.9110900333333
C0000056,Fraud,116300.0,Bihar,Patna,6,0,0.0,1801,18,CURRENT,BRANCH,BankingHours,
C0000057,Cheating,152300.0,Andhra Pradesh,Mumbai,3,0,0.0,2087,5,SAVINGS,BRANCH,BankingHours,
C0000058,Cheating,4900.0,Bihar,Patna,3,4,0.7534,1301,3,SAVINGS,BRANCH,BankingHours,72.87277309999999
C0000059,Cheating,1000.0,Maharashtra,Mumbai,3,5,0.8262,1301,3,SAVINGS,ATM,Evening,493.8167455
C0000060,Fraud,328000.0,Maharashtra,Mumbai,3,0,0.0,94,3,CURRENT,BRANCH,BankingHours,
C0000060,Fraud,328000.0,Maharashtra,Mumbai,3,0,0.0,94,3,CURRENT,BRANCH,BankingHours,
C0000060,Fraud,328000.0,Maharashtra,Mumbai,3,0,0.0,94,3,CURRENT,BRANCH,BankingHours,
C0000061,Cheating,6400.0,Tamil Nadu,Chennai,3,2,0.5034,1649,3,SAVINGS,ATM,Night,876.2888310166667
C0000062,Fraud,581700.0,Tamil Nadu,Chennai,3,0,0.0,681,16,SAVINGS,BRANCH,BankingHours,
C0000062,Fraud,581700.0,Tamil Nadu,Chennai,3,0,0.0,681,16,SAVINGS,BRANCH,BankingHours,
C0000063,Cheating,300800.0,Bihar,Patna,4,0,0.0,1822,8,SAVINGS,BRANCH,BankingHours,
C0000064,Fraud,537300.0,Maharashtra,Mumbai,3,6,0.8775,1619,3,SAVINGS,ATM,Evening,573.7644742833332
C0000065,Cheating,65000.0,Maharashtra,Mumbai,4,0,0.0,1229,8,SAVINGS,BRANCH,BankingHours,
C0000066,Cheating,4100.0,Tamil Nadu,Chennai,3,10,0.9698,1227,3,SAVINGS,BRANCH,BankingHours,
C0000067,Fraud,2220000.0,Telangana,Hyderabad,3,0,0.0,1223,3,SAVINGS,ATM,Afternoon,196.34304858333334
C0000067,Fraud,2220000.0,Telangana,Hyderabad,3,0,0.0,1223,3,SAVINGS,ATM,Afternoon,216.34304858333334
C0000067,Fraud,2220000.0,Telangana,Hyderabad,3,0,0.0,1223,3,SAVINGS,ATM,Afternoon,238.34304858333334
C0000068,Cheating,35000.0,Telangana,Hyderabad,4,1,0.2953,2046,6,SAVINGS,ATM,Night,775.3183389833333
C0000069,Fraud,3600.0,Telangana,Hyderabad,5,0,0.0,1365,5,CURRENT,ATM,Night,832.2786632166666
C0000070,Fraud,5100.0,Telangana,Hyderabad,3,2,0.5034,873,3,SAVINGS,ATM,Night,827.27168585
C0000071,Fraud,28200.0,Telangana,Hyderabad,3,7,0.9137,1654,3,SAVINGS,BRANCH,BankingHours,
C0000072,Fraud,16900.0,Andhra Pradesh,Lucknow,3,11,0.9787,1451,3,SAVINGS,ATM,Evening,737.9825719666666
C0000073,Cheating,74500.0,Telangana,Hyderabad,5,1,0.2953,267,5,CURRENT,ATM,Night,2211.8658932833337
C0000074,Cheating,13200.0,Maharashtra,Mumbai,3,2,0.5034,1756,3,SAVINGS,BRANCH,BankingHours,1774.5630400333332
C0000075,Cheating,986500.0,Telangana,Hyderabad,3,3,0.6501,1797,3,SAVINGS,BRANCH,BankingHours,
C0000076,Cheating,14100.0,Telangana,Hyderabad,4,1,0.2953,1360,18,SAVINGS,ATM,Morning,-195.67584041666666
C0000077,Fraud,11600.0,Bihar,Patna,3,12,0.985,1227,3,SAVINGS,BRANCH,BankingHours,
C0000078,Cheating,44900.0,Odisha,Delhi,2,0,0.0,462,4,SAVINGS,ATM,Night,798.8679004333334
C0000079,Fraud,193900.0,Telangana,Hyderabad,3,1,0.2953,597,8,SAVINGS,ATM,Night,826.2988114666666
C0000080,Cyber Blackmailing,17500.0,Telangana,Hyderabad,3,1,0.2953,1394,12,SAVINGS,BRANCH,BankingHours,1599.3486567333334
C0000081,Fraud,68000.0,Telangana,Hyderabad,2,13,0.9894,870,3,SAVINGS,BRANCH,BankingHours,1610.8376700666668
